mode,variant,build,fps,frame,width,height,phase,direction,interval_us,widget_us,output_us,reset_us,total_us,diff_probe_us,changed_cells,ansi_bytes,write_calls
bench,muster,release,25,0,120,40,0.000000,in,0.000,430.791,191.997,3.533,626.321,56.346,4800,51450,29735
bench,muster,release,25,1,120,40,0.013333,in,0.000,415.713,159.710,3.351,578.774,71.196,1772,37012,20857
bench,muster,release,25,2,120,40,0.026667,in,0.000,409.291,152.570,3.389,565.250,71.556,1826,37553,21213
bench,muster,release,25,3,120,40,0.040000,in,0.000,422.731,174.804,3.566,601.101,73.171,1797,38060,21558
bench,muster,release,25,4,120,40,0.053333,in,0.000,418.707,173.299,3.758,595.764,79.241,1852,39706,22468
bench,muster,release,25,5,120,40,0.066667,in,0.000,448.030,163.022,3.438,614.490,72.528,1847,39302,22257
bench,muster,release,25,6,120,40,0.080000,in,0.000,430.153,174.893,3.451,608.497,73.913,1877,40971,23194
bench,muster,release,25,7,120,40,0.093333,in,0.000,429.367,173.124,3.384,605.875,73.075,1928,41481,23520
bench,muster,release,25,8,120,40,0.106667,in,0.000,424.258,171.229,3.479,598.966,73.290,1889,41911,23741
bench,muster,release,25,9,120,40,0.120000,in,0.000,432.830,174.882,3.389,611.101,74.387,1940,41106,23342
bench,muster,release,25,10,120,40,0.133333,in,0.000,442.112,180.751,3.458,626.321,77.287,1944,43699,24775
bench,muster,release,25,11,120,40,0.146667,in,0.000,445.712,180.896,3.460,630.068,76.814,1984,43564,24708
bench,muster,release,25,12,120,40,0.160000,in,0.000,450.337,183.886,3.398,637.621,73.699,2036,45575,25905
bench,muster,release,25,13,120,40,0.173333,in,0.000,448.597,184.166,3.374,636.137,76.531,2080,44904,25612
bench,muster,release,25,14,120,40,0.186667,in,0.000,449.452,186.954,3.383,639.789,76.119,2091,45644,25962
bench,muster,release,25,15,120,40,0.200000,in,0.000,456.662,184.524,3.390,644.576,76.202,2113,47026,26709
bench,muster,release,25,16,120,40,0.213333,in,0.000,541.734,195.072,3.387,740.193,79.315,2167,48124,27372
bench,muster,release,25,17,120,40,0.226667,in,0.000,459.530,195.481,3.462,658.473,78.480,2160,48625,27696
bench,muster,release,25,18,120,40,0.240000,in,0.000,463.712,202.214,3.371,669.297,80.970,2161,49055,27962
bench,muster,release,25,19,120,40,0.253333,in,0.000,458.105,228.876,3.349,690.330,80.197,2239,51022,29051
bench,muster,release,25,20,120,40,0.266667,in,0.000,474.084,188.433,3.391,665.908,77.390,2225,50144,28553
bench,muster,release,25,21,120,40,0.280000,in,0.000,470.296,200.324,3.437,674.057,82.854,2213,49919,28473
bench,muster,release,25,22,120,40,0.293333,in,0.000,473.088,204.886,3.440,681.414,83.433,2288,52564,29965
bench,muster,release,25,23,120,40,0.306667,in,0.000,485.998,195.162,3.372,684.532,82.542,2328,53240,30408
bench,muster,release,25,24,120,40,0.320000,in,0.000,482.565,215.241,3.345,701.151,84.219,2353,53053,30336
bench,muster,release,25,25,120,40,0.333333,in,0.000,485.684,218.963,3.475,708.122,84.781,2366,54491,31137
bench,muster,release,25,26,120,40,0.346667,in,0.000,482.056,205.771,3.382,691.209,83.117,2385,54704,31235
bench,muster,release,25,27,120,40,0.360000,in,0.000,486.980,223.513,3.380,713.873,91.019,2431,56610,32318
bench,muster,release,25,28,120,40,0.373333,in,0.000,491.108,226.214,3.343,720.665,86.970,2554,60807,34778
bench,muster,release,25,29,120,40,0.386667,in,0.000,531.121,229.210,3.476,763.807,87.460,2608,58718,33703
bench,muster,release,25,30,120,40,0.400000,in,0.000,501.015,221.836,3.385,726.236,88.070,2525,59168,33788
bench,muster,release,25,31,120,40,0.413333,in,0.000,494.259,235.162,3.571,732.992,91.127,2552,58515,33517
bench,muster,release,25,32,120,40,0.426667,in,0.000,498.158,235.366,3.360,736.884,90.630,2624,60876,34809
bench,muster,release,25,33,120,40,0.440000,in,0.000,489.265,235.235,3.443,727.943,93.077,2606,61148,34999
bench,muster,release,25,34,120,40,0.453333,in,0.000,491.393,237.401,3.384,732.178,87.596,2634,61012,34946
bench,muster,release,25,35,120,40,0.466667,in,0.000,507.521,244.371,3.396,755.288,88.906,2734,64646,37022
bench,muster,release,25,36,120,40,0.480000,in,0.000,498.936,237.340,3.385,739.661,89.728,2623,61813,35421
bench,muster,release,25,37,120,40,0.493333,in,0.000,494.411,238.141,3.403,735.955,91.171,2682,64330,36862
bench,muster,release,25,38,120,40,0.506667,in,0.000,495.744,238.019,3.441,737.204,93.693,2659,62635,35936
bench,muster,release,25,39,120,40,0.520000,in,0.000,698.109,236.880,3.353,938.342,95.100,2720,63381,36276
bench,muster,release,25,40,120,40,0.533333,in,0.000,704.959,257.230,3.432,965.621,98.986,2767,68701,39220
bench,muster,release,25,41,120,40,0.546667,in,0.000,714.334,260.863,3.392,978.589,101.251,2839,69693,39811
bench,muster,release,25,42,120,40,0.560000,in,0.000,916.983,273.459,3.413,1193.855,101.418,2913,71530,40788
bench,muster,release,25,43,120,40,0.573333,in,0.000,929.113,262.039,3.440,1194.592,98.970,2856,67174,38542
bench,muster,release,25,44,120,40,0.586667,in,0.000,915.112,293.804,3.466,1212.382,103.041,3109,85317,48132
bench,muster,release,25,45,120,40,0.600000,in,0.000,1127.905,277.342,3.370,1408.617,106.803,3282,78684,44801
bench,muster,release,25,46,120,40,0.613333,in,0.000,1132.986,285.704,3.360,1422.050,104.840,3160,77334,43944
bench,muster,release,25,47,120,40,0.626667,in,0.000,1337.954,290.416,3.367,1631.737,106.873,3257,79258,44926
bench,muster,release,25,48,120,40,0.640000,in,0.000,1345.379,303.472,3.348,1652.199,104.710,3228,80902,45900
bench,muster,release,25,49,120,40,0.653333,in,0.000,1550.473,304.438,3.390,1858.301,106.798,3359,85982,48556
bench,muster,release,25,50,120,40,0.666667,in,0.000,1577.453,314.303,3.369,1895.125,107.180,3360,84869,47992
bench,muster,release,25,51,120,40,0.680000,in,0.000,1769.030,307.047,3.375,2079.452,107.666,3432,85323,48139
bench,muster,release,25,52,120,40,0.693333,in,0.000,1976.600,305.128,3.382,2285.110,107.625,3495,88708,49857
bench,muster,release,25,53,120,40,0.706667,in,0.000,1956.917,323.630,3.395,2283.942,104.722,3624,90921,51035
bench,muster,release,25,54,120,40,0.720000,in,0.000,2184.330,314.322,3.380,2502.032,104.941,3632,89823,50344
bench,muster,release,25,55,120,40,0.733333,in,0.000,2172.425,303.886,3.352,2479.663,104.245,3696,90255,50638
bench,muster,release,25,56,120,40,0.746667,in,0.000,2419.697,301.393,3.365,2724.455,103.930,3762,86993,48538
bench,muster,release,25,57,120,40,0.760000,in,0.000,3988.114,299.365,3.353,4290.832,105.338,3880,85985,47856
bench,muster,release,25,58,120,40,0.773333,in,0.000,4020.593,294.546,3.387,4318.526,103.489,3887,84597,47010
bench,muster,release,25,59,120,40,0.786667,in,0.000,4322.352,301.567,3.680,4627.599,113.409,4019,82654,45505
bench,muster,release,25,60,120,40,0.800000,in,0.000,4344.226,283.129,3.360,4630.715,105.954,3916,83108,45764
bench,muster,release,25,61,120,40,0.813333,in,0.000,4632.684,275.363,3.362,4911.409,103.396,3918,82154,44876
bench,muster,release,25,62,120,40,0.826667,in,0.000,4655.166,270.981,3.444,4929.591,103.687,3858,77641,42352
bench,muster,release,25,63,120,40,0.840000,in,0.000,4972.564,256.025,3.353,5231.942,101.061,3884,66087,35585
bench,muster,release,25,64,120,40,0.853333,in,0.000,4939.783,233.286,3.482,5176.551,104.336,3685,58914,31773
bench,muster,release,25,65,120,40,0.866667,in,0.000,5253.988,220.526,3.367,5477.881,99.057,3563,57116,30690
bench,muster,release,25,66,120,40,0.880000,in,0.000,5266.693,248.947,3.358,5518.998,99.801,3363,63402,34436
bench,muster,release,25,67,120,40,0.893333,in,0.000,5258.155,256.836,3.380,5518.371,103.339,3368,66725,36292
bench,muster,release,25,68,120,40,0.906667,in,0.000,5568.016,256.555,3.361,5827.932,106.424,3115,62907,34239
bench,muster,release,25,69,120,40,0.920000,in,0.000,5613.638,233.330,3.381,5850.349,101.401,2801,54351,29653
bench,muster,release,25,70,120,40,0.933333,in,0.000,5595.458,191.065,3.369,5789.892,97.049,2215,42228,23142
bench,muster,release,25,71,120,40,0.946667,in,0.000,5838.471,182.612,3.479,6024.562,92.305,1787,37164,20525
bench,muster,release,25,72,120,40,0.960000,in,0.000,5804.408,161.594,3.458,5969.460,88.598,1682,30062,16489
bench,muster,release,25,73,120,40,0.973333,in,0.000,5795.233,119.855,3.374,5918.462,78.135,896,16344,8951
bench,muster,release,25,74,120,40,0.986667,in,0.000,5744.453,109.295,3.486,5857.234,77.164,702,12106,6598
bench,muster,release,25,75,120,40,1.000000,out,0.000,5315.099,108.751,3.469,5427.319,76.209,779,13864,7536
bench,muster,release,25,76,120,40,0.986667,out,0.000,5740.187,117.153,3.467,5860.807,78.041,928,16255,8906
bench,muster,release,25,77,120,40,0.973333,out,0.000,5772.788,104.896,3.457,5881.141,77.515,707,11494,6273
bench,muster,release,25,78,120,40,0.960000,out,0.000,5849.813,145.762,3.370,5998.945,84.404,1510,25604,13854
bench,muster,release,25,79,120,40,0.946667,out,0.000,5859.622,159.190,3.466,6022.278,91.353,1571,29648,16245
bench,muster,release,25,80,120,40,0.933333,out,0.000,5549.814,177.784,3.381,5730.979,89.502,1940,38832,21273
bench,muster,release,25,81,120,40,0.920000,out,0.000,5533.715,210.399,3.476,5747.590,97.713,2250,47920,26382
bench,muster,release,25,82,120,40,0.906667,out,0.000,5572.950,237.532,3.369,5813.851,101.592,2666,56027,30632
bench,muster,release,25,83,120,40,0.893333,out,0.000,5244.762,252.143,3.387,5500.292,107.829,3191,63694,34779
bench,muster,release,25,84,120,40,0.880000,out,0.000,5275.883,251.210,3.390,5530.483,106.286,3357,62466,33898
bench,muster,release,25,85,120,40,0.866667,out,0.000,5256.083,240.373,3.383,5499.839,101.777,3455,58419,31597
bench,muster,release,25,86,120,40,0.853333,out,0.000,4971.438,255.604,3.393,5230.435,100.395,3626,62677,33956
bench,muster,release,25,87,120,40,0.840000,out,0.000,4963.660,271.995,3.394,5239.049,102.500,3711,70331,38191
bench,muster,release,25,88,120,40,0.826667,out,0.000,4655.553,287.353,3.398,4946.304,100.037,3911,79400,43325
bench,muster,release,25,89,120,40,0.813333,out,0.000,4657.609,281.771,3.461,4942.841,103.143,3833,80197,43989
bench,muster,release,25,90,120,40,0.800000,out,0.000,4343.613,284.463,3.386,4631.462,103.266,3935,83984,46329
bench,muster,release,25,91,120,40,0.786667,out,0.000,4312.480,293.530,3.398,4609.408,104.239,3938,85371,47153
bench,muster,release,25,92,120,40,0.773333,out,0.000,4041.110,318.325,3.664,4363.099,108.467,4030,87197,48532
bench,muster,release,25,93,120,40,0.760000,out,0.000,4096.968,303.946,3.391,4404.305,103.803,3901,86129,47992
bench,muster,release,25,94,120,40,0.746667,out,0.000,2412.972,298.158,3.365,2714.495,106.050,3862,89061,49764
bench,muster,release,25,95,120,40,0.733333,out,0.000,2182.625,317.322,3.398,2503.345,140.374,3756,90927,51049
bench,muster,release,25,96,120,40,0.720000,out,0.000,2182.562,305.860,3.487,2491.909,105.490,3733,90782,50890
bench,muster,release,25,97,120,40,0.706667,out,0.000,1956.695,307.603,3.404,2267.702,105.783,3653,89951,50430
bench,muster,release,25,98,120,40,0.693333,out,0.000,1996.456,304.054,3.395,2303.905,104.194,3625,89636,50472
bench,muster,release,25,99,120,40,0.680000,out,0.000,1783.696,305.448,3.396,2092.540,104.497,3512,87194,49214
bench,muster,release,25,100,120,40,0.666667,out,0.000,1580.911,295.124,3.384,1879.419,106.949,3454,84385,47726
bench,muster,release,25,101,120,40,0.653333,out,0.000,1565.287,306.791,3.417,1875.495,109.133,3375,85223,48159
bench,muster,release,25,102,120,40,0.640000,out,0.000,1355.137,298.326,3.486,1656.949,108.160,3333,81863,46512
bench,muster,release,25,103,120,40,0.626667,out,0.000,1352.888,291.554,3.352,1647.794,102.754,3216,79424,45062
bench,muster,release,25,104,120,40,0.613333,out,0.000,1137.791,277.406,3.456,1418.653,103.951,3163,78589,44732
