mode,variant,build,fps,frame,width,height,phase,direction,interval_us,widget_us,output_us,reset_us,total_us,diff_probe_us,changed_cells,ansi_bytes,write_calls
bench,platoon,release,25,0,240,80,0.000000,in,0.000,1937.550,779.636,14.992,2732.178,258.680,19200,194459,112925
bench,platoon,release,25,1,240,80,0.013333,in,0.000,1913.696,708.267,19.972,2641.935,384.677,8513,149522,84179
bench,platoon,release,25,2,240,80,0.026667,in,0.000,2244.851,901.075,19.030,3164.956,375.743,8549,151044,85160
bench,platoon,release,25,3,240,80,0.040000,in,0.000,2188.945,777.981,16.380,2983.306,315.859,8695,160176,90215
bench,platoon,release,25,4,240,80,0.053333,in,0.000,2094.284,861.010,16.096,2971.390,377.326,8809,160643,90498
bench,platoon,release,25,5,240,80,0.066667,in,0.000,2134.781,733.430,18.175,2886.386,358.466,8878,160414,90520
bench,platoon,release,25,6,240,80,0.080000,in,0.000,1925.864,691.008,13.663,2630.535,279.188,8952,165967,93654
bench,platoon,release,25,7,240,80,0.093333,in,0.000,2082.850,782.631,15.551,2881.032,325.532,9188,174356,98320
bench,platoon,release,25,8,240,80,0.106667,in,0.000,2101.906,855.786,18.290,2975.982,363.155,9195,176929,99984
bench,platoon,release,25,9,240,80,0.120000,in,0.000,2108.921,831.806,17.661,2958.388,364.341,9460,177491,100274
bench,platoon,release,25,10,240,80,0.133333,in,0.000,2099.852,771.173,16.571,2887.596,340.014,9585,183742,103805
bench,platoon,release,25,11,240,80,0.146667,in,0.000,1911.872,777.607,14.774,2704.253,295.495,9632,182595,103296
bench,platoon,release,25,12,240,80,0.160000,in,0.000,1920.757,1001.889,17.278,2939.924,382.474,9746,192506,108767
bench,platoon,release,25,13,240,80,0.173333,in,0.000,2027.205,878.296,13.609,2919.110,364.158,10025,195925,111052
bench,platoon,release,25,14,240,80,0.186667,in,0.000,1866.858,751.664,13.910,2632.432,301.841,10156,200436,113363
bench,platoon,release,25,15,240,80,0.200000,in,0.000,1842.428,775.865,13.584,2631.877,308.079,10260,202411,114620
bench,platoon,release,25,16,240,80,0.213333,in,0.000,2143.245,1034.298,15.609,3193.152,371.194,10441,208127,117756
bench,platoon,release,25,17,240,80,0.226667,in,0.000,2300.099,912.916,15.533,3228.548,359.249,10505,211078,119543
bench,platoon,release,25,18,240,80,0.240000,in,0.000,2086.753,907.240,14.034,3008.027,324.130,10515,217005,122810
bench,platoon,release,25,19,240,80,0.253333,in,0.000,1841.998,835.815,13.573,2691.386,316.603,10642,219078,124145
bench,platoon,release,25,20,240,80,0.266667,in,0.000,2392.587,1035.826,18.708,3447.121,387.604,10610,222931,126116
bench,platoon,release,25,21,240,80,0.280000,in,0.000,2220.056,954.920,17.310,3192.286,421.054,10661,223997,126948
bench,platoon,release,25,22,240,80,0.293333,in,0.000,2456.648,1063.427,18.817,3538.892,402.429,10709,224692,127423
bench,platoon,release,25,23,240,80,0.306667,in,0.000,2162.336,961.027,18.756,3142.119,401.874,10573,223042,126390
