frame,elapsed_s,zoom,render_us,diff_us,encode_us,reset_us,total_us,interval_us,bytes,changed_cells,glyph_changes,color_only_changes
0,0.000000,0.000000,2692.896,285.949,0.227,19.433,2998.505,0.000,19,0,0,0
1,0.040000,0.013333,2908.132,441.821,287.193,14.714,3651.860,0.000,104138,8976,7927,1049
2,0.080000,0.026667,2387.033,350.916,383.609,18.587,3140.145,0.000,105745,9090,8068,1022
3,0.120000,0.040000,2333.014,319.241,277.449,13.958,2943.662,0.000,109970,9323,8265,1058
4,0.160000,0.053333,2337.323,376.248,346.598,15.965,3076.134,0.000,114899,9514,8550,964
5,0.200000,0.066667,2664.406,521.859,365.347,18.959,3570.571,0.000,114695,9500,8558,942
6,0.240000,0.080000,2699.404,429.547,367.058,15.746,3511.755,0.000,120427,9671,8685,986
7,0.280000,0.093333,2494.828,327.882,320.446,14.700,3157.856,0.000,125831,9924,8944,980
8,0.320000,0.106667,2304.590,343.706,344.293,15.994,3008.583,0.000,127107,10068,9141,927
9,0.360000,0.120000,2569.864,426.583,373.336,14.382,3384.165,0.000,131432,10139,9125,1014
10,0.400000,0.133333,2597.098,402.434,382.788,17.917,3400.237,0.000,138282,10306,9327,979
11,0.440000,0.146667,2706.148,368.545,379.485,14.147,3468.325,0.000,137619,10390,9412,978
12,0.480000,0.160000,2450.004,369.726,355.789,15.502,3191.021,0.000,141130,10418,9459,959
13,0.520000,0.173333,2405.927,333.964,358.181,14.721,3112.793,0.000,141872,10609,9672,937
14,0.560000,0.186667,2424.466,358.448,377.603,13.984,3174.501,0.000,143879,10423,9511,912
15,0.600000,0.200000,2256.712,410.750,405.722,17.077,3090.261,0.000,148950,10604,9666,938
16,0.640000,0.213333,2883.403,441.972,458.616,15.480,3799.471,0.000,155774,10645,9730,915
17,0.680000,0.226667,2620.062,392.651,423.761,15.468,3451.942,0.000,159520,10685,9802,883
18,0.720000,0.240000,2441.294,372.428,398.271,14.691,3226.684,0.000,159716,10726,9820,906
19,0.760000,0.253333,2291.593,356.258,408.730,13.989,3070.570,0.000,174696,10851,9843,1008
20,0.800000,0.266667,2269.138,364.564,509.379,17.462,3160.543,0.000,170863,11101,10048,1053
21,0.840000,0.280000,3030.019,409.293,447.536,16.133,3902.981,0.000,175372,10949,9986,963
22,0.880000,0.293333,2661.574,431.071,453.557,17.440,3563.642,0.000,174085,10904,9919,985
23,0.920000,0.306667,3448.140,445.583,526.405,18.724,4438.852,0.000,184413,11172,10315,857
24,0.960000,0.320000,5203.586,520.262,651.755,21.169,6396.772,0.000,190848,11341,10555,786
25,1.000000,0.333333,6531.923,549.428,615.843,18.377,7715.571,0.000,198893,11421,10673,748
26,1.040000,0.346667,8030.507,549.249,676.591,21.222,9277.569,0.000,201680,11386,10696,690
27,1.080000,0.360000,9497.052,519.560,704.450,23.577,10744.639,0.000,220677,11721,11050,671
28,1.120000,0.373333,10823.365,530.513,723.541,22.623,12100.042,0.000,228982,12402,11737,665
29,1.160000,0.386667,12648.502,520.940,672.984,19.567,13861.993,0.000,245578,12820,12119,701
30,1.200000,0.400000,12812.161,496.300,754.914,20.935,14084.310,0.000,254420,13534,12880,654
31,1.240000,0.413333,13046.200,565.455,837.791,21.311,14470.757,0.000,259178,13917,13330,587
32,1.280000,0.426667,14027.517,533.221,841.111,20.229,15422.078,0.000,270251,14333,13793,540
33,1.320000,0.440000,14977.979,426.602,691.228,19.925,16115.734,0.000,275520,14739,14270,469
34,1.360000,0.453333,14458.175,446.202,661.550,14.329,15580.256,0.000,282613,15009,14548,461
35,1.400000,0.466667,14895.781,507.729,770.788,19.308,16193.606,0.000,277498,14510,13890,620
36,1.440000,0.480000,14661.424,512.364,793.212,18.607,15985.607,0.000,289438,15160,14745,415
37,1.480000,0.493333,14517.986,542.428,921.362,20.327,16002.103,0.000,299090,15231,14791,440
38,1.520000,0.506667,15820.405,515.414,763.598,14.334,17113.751,0.000,297622,15372,14943,429
39,1.560000,0.520000,15178.241,499.453,797.806,18.373,16493.873,0.000,300215,15515,15088,427
40,1.600000,0.533333,14601.214,508.649,680.432,17.472,15807.767,0.000,307339,15666,15243,423
41,1.640000,0.546667,15600.187,551.447,879.566,18.931,17050.131,0.000,308212,15767,15342,425
42,1.680000,0.560000,14937.415,494.008,892.626,18.602,16342.651,0.000,315126,15873,15458,415
43,1.720000,0.573333,14443.017,439.391,852.365,19.390,15754.163,0.000,323653,16146,15772,374
44,1.760000,0.586667,14860.093,418.823,703.870,18.510,16001.296,0.000,322278,16192,15830,362
45,1.800000,0.600000,15255.764,512.331,926.772,16.546,16711.413,0.000,327482,16445,16063,382
46,1.840000,0.613333,15360.872,512.015,812.235,14.003,16699.125,0.000,326067,16436,15908,528
47,1.880000,0.626667,15392.460,502.623,833.425,13.929,16742.437,0.000,325560,16467,15948,519
48,1.920000,0.640000,15315.268,488.375,726.060,16.459,16546.162,0.000,315640,16551,15983,568
49,1.960000,0.653333,15071.219,511.745,725.194,19.278,16327.436,0.000,310977,16628,16044,584
50,2.000000,0.666667,14538.804,415.492,654.867,15.252,15624.415,0.000,303405,16816,16227,589
51,2.040000,0.680000,14800.245,411.766,669.859,13.938,15895.808,0.000,298443,16868,16260,608
52,2.080000,0.693333,14187.451,474.533,621.911,13.967,15297.862,0.000,289844,17069,16432,637
53,2.120000,0.706667,14210.614,440.757,630.427,13.908,15295.706,0.000,283265,17118,16511,607
54,2.160000,0.720000,14493.408,406.851,724.604,13.985,15638.848,0.000,283609,17226,16557,669
55,2.200000,0.733333,14849.822,409.018,628.520,14.545,15901.905,0.000,283133,17210,16474,736
56,2.240000,0.746667,13924.080,407.366,633.501,15.101,14980.048,0.000,283798,17349,16648,701
57,2.280000,0.760000,27497.951,418.496,667.004,23.465,28606.916,0.000,288455,17309,16542,767
58,2.320000,0.773333,29019.984,411.118,637.850,14.222,30083.174,0.000,292043,17422,16597,825
59,2.360000,0.786667,28648.132,416.376,650.513,15.585,29730.606,0.000,291504,17339,16425,914
60,2.400000,0.800000,28280.486,559.213,734.477,15.058,29589.234,0.000,284576,17386,16403,983
61,2.440000,0.813333,31374.066,531.774,697.819,19.125,32622.784,0.000,267397,17126,15856,1270
62,2.480000,0.826667,32395.591,554.606,750.545,20.231,33720.973,0.000,237918,16703,15279,1424
63,2.520000,0.840000,31059.708,545.093,621.189,20.748,32246.738,0.000,201971,16190,14731,1459
64,2.560000,0.853333,30052.836,397.181,443.239,14.003,30907.259,0.000,170835,15398,14192,1206
65,2.600000,0.866667,28738.272,510.092,450.300,19.792,29718.456,0.000,148042,14509,13422,1087
66,2.640000,0.880000,27925.176,420.435,443.828,20.105,28809.544,0.000,127408,13411,12438,973
67,2.680000,0.893333,27733.765,489.096,318.415,17.716,28558.992,0.000,111478,12248,11503,745
68,2.720000,0.906667,26011.852,398.229,229.592,13.964,26653.637,0.000,94975,10744,10186,558
69,2.760000,0.920000,24802.256,377.577,195.230,14.355,25389.418,0.000,80990,9088,8767,321
70,2.800000,0.933333,26014.684,361.426,163.789,14.309,26554.208,0.000,71842,6998,6764,234
71,2.840000,0.946667,26310.819,360.540,123.592,15.006,26809.957,0.000,59867,5392,5192,200
72,2.880000,0.960000,27244.338,398.572,136.625,20.122,27799.657,0.000,45730,3913,3756,157
73,2.920000,0.973333,26493.369,386.697,78.443,19.440,26977.949,0.000,28737,2400,2311,89
74,2.960000,0.986667,27407.715,341.580,33.531,14.681,27797.507,0.000,14768,1229,1168,61
75,3.000000,1.000000,11718.915,308.308,16.357,17.721,12061.301,0.000,4923,376,349,27
76,3.040000,0.986667,29643.344,402.682,15.124,20.347,30081.497,0.000,4254,349,322,27
77,3.080000,0.973333,31623.455,408.631,43.749,20.293,32096.128,0.000,14481,1175,1108,67
78,3.120000,0.960000,31626.625,361.170,66.073,18.164,32072.032,0.000,29365,2344,2243,101
79,3.160000,0.946667,27226.733,396.948,135.391,19.974,27779.046,0.000,46885,3895,3750,145
80,3.200000,0.933333,27570.929,377.621,131.735,14.379,28094.664,0.000,62459,5476,5288,188
81,3.240000,0.920000,25950.754,376.747,157.975,18.067,26503.543,0.000,73662,6972,6756,216
82,3.280000,0.906667,26276.028,669.263,263.041,18.145,27226.477,0.000,87959,9083,8804,279
83,3.320000,0.893333,28914.606,547.022,312.803,19.385,29793.816,0.000,109528,10715,10226,489
84,3.360000,0.880000,28627.478,475.874,409.293,16.424,29529.069,0.000,129211,12392,11650,742
85,3.400000,0.866667,28867.863,453.125,502.891,20.139,29844.018,0.000,152134,13503,12515,988
86,3.440000,0.853333,28436.314,454.530,432.172,19.473,29342.489,0.000,173787,14571,13503,1068
87,3.480000,0.840000,29095.264,456.598,511.624,19.934,30083.420,0.000,205303,15475,14296,1179
