frame,elapsed_s,zoom,render_us,diff_us,encode_us,reset_us,total_us,interval_us,bytes,changed_cells,glyph_changes,color_only_changes
0,0.000000,0.000000,2318.662,211.584,0.162,13.976,2544.384,0.000,19,0,0,0
1,0.040000,0.013333,2442.652,369.504,281.562,14.149,3107.867,0.000,110123,9446,8438,1008
2,0.080000,0.026667,2315.286,320.666,289.514,14.046,2939.512,0.000,113264,9564,8465,1099
3,0.120000,0.040000,2422.639,334.663,296.214,14.167,3067.683,0.000,112514,9576,8559,1017
4,0.160000,0.053333,2386.098,322.630,291.451,14.043,3014.222,0.000,115063,9569,8538,1031
5,0.200000,0.066667,2366.374,325.818,273.819,14.590,2980.601,0.000,119140,9733,8723,1010
6,0.240000,0.080000,2361.057,322.956,312.424,14.035,3010.472,0.000,121507,9794,8783,1011
7,0.280000,0.093333,2434.490,332.229,314.784,14.103,3095.606,0.000,125985,9899,8891,1008
8,0.320000,0.106667,2387.833,326.418,323.714,14.136,3052.101,0.000,128325,9971,8989,982
9,0.360000,0.120000,2459.589,327.157,307.251,14.105,3108.102,0.000,131381,10107,9177,930
10,0.400000,0.133333,2396.957,334.718,342.426,14.110,3088.211,0.000,135207,10204,9248,956
11,0.440000,0.146667,2412.168,334.557,342.380,14.109,3103.214,0.000,136401,10255,9312,943
12,0.480000,0.160000,2453.092,335.877,371.168,14.598,3174.735,0.000,142692,10478,9513,965
13,0.520000,0.173333,2514.152,348.913,352.363,15.212,3230.640,0.000,145797,10762,9828,934
14,0.560000,0.186667,2459.221,336.036,398.645,14.431,3208.333,0.000,153127,10665,9737,928
15,0.600000,0.200000,2462.958,346.414,364.935,14.040,3188.347,0.000,150494,10716,9768,948
16,0.640000,0.213333,2478.660,344.994,386.952,14.059,3224.665,0.000,155794,10741,9826,915
17,0.680000,0.226667,2495.238,345.865,390.549,14.182,3245.834,0.000,159316,10792,9859,933
18,0.720000,0.240000,2560.355,381.944,401.820,15.079,3359.198,0.000,160894,10755,9780,975
19,0.760000,0.253333,2498.442,350.869,402.225,14.128,3265.664,0.000,162726,10760,9877,883
