stage,mode,variant,size,phase,frames,widget_p95_ms,total_p95_ms
baseline,bench,muster,120x40,early,198,0.6705679999999999,0.971231
baseline,bench,muster,120x40,middle,138,2.5162240000000002,2.8864409999999996
baseline,bench,muster,120x40,late,111,6.76564,7.046175
baseline,bench,muster,240x80,early,198,2.48071,3.611153
baseline,bench,muster,240x80,middle,138,10.805448,12.393685999999999
baseline,bench,muster,240x80,late,111,29.459522,30.457258999999997
baseline,bench,muster,320x100,early,198,4.030549,5.756536
baseline,bench,muster,320x100,middle,138,17.285876000000002,19.631408
baseline,bench,muster,320x100,late,111,45.218258,46.789610999999994
baseline,bench,platoon,120x40,early,198,0.68165,0.978505
baseline,bench,platoon,120x40,middle,138,2.6840509999999997,3.103603
baseline,bench,platoon,120x40,late,111,7.503365,7.726148
baseline,bench,platoon,240x80,early,198,2.7024540000000004,3.882594
baseline,bench,platoon,240x80,middle,138,10.13865,11.415407
baseline,bench,platoon,240x80,late,111,29.234244,30.237323
baseline,bench,platoon,320x100,early,198,4.1860550000000005,5.975324
baseline,bench,platoon,320x100,middle,138,17.03664,19.173696
baseline,bench,platoon,320x100,late,111,44.830123,45.822134
baseline,live,muster,120x40,early,136,2.143333,5.819221
baseline,live,muster,120x40,middle,88,8.863742,15.445531
baseline,live,muster,120x40,late,74,23.64414,25.042162
baseline,live,muster,240x80,early,137,7.815131999999999,27.291370999999998
baseline,live,muster,240x80,middle,88,19.101868,38.174567
baseline,live,muster,240x80,late,73,32.628883,43.410148
baseline,live,platoon,120x40,early,136,2.154066,6.341284
baseline,live,platoon,120x40,middle,88,8.891172000000001,14.607147000000001
baseline,live,platoon,120x40,late,74,20.909663000000002,25.216504
baseline,live,platoon,240x80,early,141,7.919396,27.500708
baseline,live,platoon,240x80,middle,88,18.352589,37.009482000000006
baseline,live,platoon,240x80,late,69,36.138699,53.498996
baseline-check,bench,muster,120x40,early,66,0.531474,0.775794
baseline-check,bench,muster,120x40,middle,46,2.4138539999999997,2.705288
baseline-check,bench,muster,120x40,late,37,6.054111,6.226587
baseline-check,bench,muster,240x80,early,66,1.998558,2.921306
baseline-check,bench,muster,240x80,middle,46,8.763069999999999,9.970379999999999
baseline-check,bench,muster,240x80,late,37,23.614605,24.138869
baseline-check,bench,muster,320x100,early,66,3.314934,4.808321
baseline-check,bench,muster,320x100,middle,46,14.472306,16.564673
baseline-check,bench,muster,320x100,late,37,38.76745,39.814911
baseline-check,bench,platoon,120x40,early,66,0.504043,0.731719
baseline-check,bench,platoon,120x40,middle,46,2.186989,2.494103
baseline-check,bench,platoon,120x40,late,37,5.705334,5.847042999999999
baseline-check,bench,platoon,240x80,early,66,2.039624,2.983612
baseline-check,bench,platoon,240x80,middle,46,8.786648999999999,10.143934
baseline-check,bench,platoon,240x80,late,37,22.769443,23.310443
baseline-check,bench,platoon,320x100,early,66,3.329931,4.861764
baseline-check,bench,platoon,320x100,middle,46,14.521607,16.553145
baseline-check,bench,platoon,320x100,late,37,37.998428,38.872446000000004
baseline-large,live,muster,320x100,early,79,11.26534,37.070869
baseline-large,live,muster,320x100,middle,42,20.491813999999998,60.316455000000005
baseline-large,live,muster,320x100,late,28,46.122177,65.929915
baseline-large,live,platoon,320x100,early,73,10.766627,42.038999000000004
baseline-large,live,platoon,320x100,middle,44,23.074623,42.292622
baseline-large,live,platoon,320x100,late,32,40.385802000000005,53.77537
candidate,bench,muster,120x40,early,198,0.36351100000000003,0.626351
candidate,bench,muster,120x40,middle,138,1.509314,1.8804269999999998
candidate,bench,muster,120x40,late,111,5.994036,6.138877000000001
candidate,bench,muster,240x80,early,198,1.545704,2.5972210000000002
candidate,bench,muster,240x80,middle,138,5.455901,6.674459
candidate,bench,muster,240x80,late,111,21.564876,22.264516
candidate,bench,muster,320x100,early,198,2.062969,3.556536
candidate,bench,muster,320x100,middle,138,8.197889,10.218803
candidate,bench,muster,320x100,late,111,33.165784,33.887129
candidate,bench,platoon,120x40,early,198,0.314678,0.542956
candidate,bench,platoon,120x40,middle,138,1.289664,1.584665
candidate,bench,platoon,120x40,late,111,4.938809,5.036873
candidate,bench,platoon,240x80,early,198,1.249346,2.1640479999999997
candidate,bench,platoon,240x80,middle,138,5.1093779999999995,6.339118
candidate,bench,platoon,240x80,late,111,19.808894,20.264196
candidate,bench,platoon,320x100,early,198,2.296493,3.994473
candidate,bench,platoon,320x100,middle,138,8.796591000000001,10.719876000000001
candidate,bench,platoon,320x100,late,111,33.008162,33.64982
optimized,bench,muster,120x40,early,198,0.317904,0.5486989999999999
optimized,bench,muster,120x40,middle,138,1.343513,1.6545070000000002
optimized,bench,muster,120x40,late,111,4.536020000000001,4.651463
optimized,bench,muster,240x80,early,198,1.369491,2.413346
optimized,bench,muster,240x80,middle,138,5.4607719999999995,6.657604999999999
optimized,bench,muster,240x80,late,111,18.257146000000002,19.209212
optimized,bench,muster,320x100,early,198,2.2160659999999996,3.877431
optimized,bench,muster,320x100,middle,138,8.84577,10.84801
optimized,bench,muster,320x100,late,111,29.904592,30.611990000000002
optimized,bench,platoon,120x40,early,198,0.31446199999999996,0.540849
optimized,bench,platoon,120x40,middle,138,1.2884179999999998,1.603591
optimized,bench,platoon,120x40,late,111,4.650229,4.769220000000001
optimized,bench,platoon,240x80,early,198,1.246736,2.162341
optimized,bench,platoon,240x80,middle,138,5.064007999999999,6.2440050000000005
optimized,bench,platoon,240x80,late,111,18.257792000000002,18.676548999999998
optimized,bench,platoon,320x100,early,198,2.110229,3.642102
optimized,bench,platoon,320x100,middle,138,8.944982,10.926252
optimized,bench,platoon,320x100,late,111,31.004971,31.783533
optimized,live,muster,120x40,early,136,1.318281,6.4756409999999995
optimized,live,muster,120x40,middle,88,4.928752,13.4486
optimized,live,muster,120x40,late,74,16.878166,20.440514999999998
optimized,live,muster,240x80,early,137,4.694187,28.524658
optimized,live,muster,240x80,middle,88,12.122279,35.180747000000004
optimized,live,muster,240x80,late,73,32.284909999999996,42.686029000000005
optimized,live,platoon,120x40,early,136,1.316837,6.912005
optimized,live,platoon,120x40,middle,88,5.117741,12.312249
optimized,live,platoon,120x40,late,74,16.124807,20.299906999999997
optimized,live,platoon,240x80,early,137,4.613107,27.411938
optimized,live,platoon,240x80,middle,88,14.35185,35.465764
optimized,live,platoon,240x80,late,73,35.876728,43.766228000000005
optimized-large,live,muster,320x100,early,72,6.878279,36.968744
optimized-large,live,muster,320x100,middle,43,12.413381,43.408405
optimized-large,live,muster,320x100,late,34,39.846318,65.949569
optimized-large,live,platoon,320x100,early,70,6.5854099999999995,34.629752
optimized-large,live,platoon,320x100,middle,44,14.543727,40.428812
optimized-large,live,platoon,320x100,late,35,35.667038,49.618545
paired-baseline,bench,muster,120x40,early,132,0.5218400000000001,0.739268
paired-baseline,bench,muster,120x40,middle,92,2.272812,2.5839749999999997
paired-baseline,bench,muster,120x40,late,74,5.914008,6.059067
paired-baseline,bench,muster,240x80,early,132,2.026648,2.946852
paired-baseline,bench,muster,240x80,middle,92,8.768479,10.285191000000001
paired-baseline,bench,muster,240x80,late,74,23.323115,23.961767
paired-baseline,bench,muster,320x100,early,132,3.362882,4.909088
paired-baseline,bench,muster,320x100,middle,92,14.900557000000001,16.813177
paired-baseline,bench,muster,320x100,late,74,38.869207,39.991526
paired-baseline,bench,platoon,120x40,early,132,0.5053489999999999,0.7420359999999999
paired-baseline,bench,platoon,120x40,middle,92,2.2277109999999998,2.532926
paired-baseline,bench,platoon,120x40,late,74,5.674271,5.822421
paired-baseline,bench,platoon,240x80,early,132,2.089555,3.047094
paired-baseline,bench,platoon,240x80,middle,92,8.990758,10.209848
paired-baseline,bench,platoon,240x80,late,74,22.830578000000003,23.213681
paired-baseline,bench,platoon,320x100,early,132,3.3625920000000002,4.914644
paired-baseline,bench,platoon,320x100,middle,92,14.917022999999999,16.971572000000002
paired-baseline,bench,platoon,320x100,late,74,38.154658000000005,39.279261
paired-optimized,bench,muster,120x40,early,132,0.314437,0.5443239999999999
paired-optimized,bench,muster,120x40,middle,92,1.291069,1.616819
paired-optimized,bench,muster,120x40,late,74,4.508149,4.629402
paired-optimized,bench,muster,240x80,early,132,1.2488050000000002,2.175944
paired-optimized,bench,muster,240x80,middle,92,5.412014,6.598925
paired-optimized,bench,muster,240x80,late,74,19.344772000000003,20.117789000000002
paired-optimized,bench,muster,320x100,early,132,2.143454,3.84497
paired-optimized,bench,muster,320x100,middle,92,8.865928,10.836077
paired-optimized,bench,muster,320x100,late,74,29.75821,30.48668
paired-optimized,bench,platoon,120x40,early,132,0.31550799999999996,0.546209
paired-optimized,bench,platoon,120x40,middle,92,1.270649,1.582517
paired-optimized,bench,platoon,120x40,late,74,4.61921,4.727048
paired-optimized,bench,platoon,240x80,early,132,1.257525,2.20287
paired-optimized,bench,platoon,240x80,middle,92,4.97411,6.22303
paired-optimized,bench,platoon,240x80,late,74,18.551178,18.991566
paired-optimized,bench,platoon,320x100,early,132,2.08295,3.5705880000000003
paired-optimized,bench,platoon,320x100,middle,92,8.353258,10.299159
paired-optimized,bench,platoon,320x100,late,74,30.944943,31.610889999999998
preformat-baseline,bench,muster,120x40,early,132,0.534497,0.7636499999999999
preformat-baseline,bench,muster,120x40,middle,92,2.347575,2.6933380000000002
preformat-baseline,bench,muster,120x40,late,74,6.239109999999999,6.425339
preformat-baseline,bench,muster,240x80,early,132,2.0130909999999997,2.921944
preformat-baseline,bench,muster,240x80,middle,92,8.880082,10.208646
preformat-baseline,bench,muster,240x80,late,74,23.373333,24.023397
preformat-baseline,bench,muster,320x100,early,132,3.401217,4.930726
preformat-baseline,bench,muster,320x100,middle,92,14.865005,16.924876
preformat-baseline,bench,muster,320x100,late,74,39.352767,40.518309
preformat-baseline,bench,platoon,120x40,early,132,0.504709,0.73914
preformat-baseline,bench,platoon,120x40,middle,92,2.385461,2.683006
preformat-baseline,bench,platoon,120x40,late,74,5.659844,5.828850999999999
preformat-baseline,bench,platoon,240x80,early,132,2.05379,2.9623809999999997
preformat-baseline,bench,platoon,240x80,middle,92,8.941232,10.219541
preformat-baseline,bench,platoon,240x80,late,74,22.965392,23.482817999999998
preformat-baseline,bench,platoon,320x100,early,132,3.316125,4.828563
preformat-baseline,bench,platoon,320x100,middle,92,14.738764999999999,16.762687000000003
preformat-baseline,bench,platoon,320x100,late,74,37.81885,38.968283
preformat-optimized,bench,muster,120x40,early,132,0.31942200000000004,0.5505789999999999
preformat-optimized,bench,muster,120x40,middle,92,1.3571769999999999,1.6707049999999999
preformat-optimized,bench,muster,120x40,late,74,4.569152,4.68936
preformat-optimized,bench,muster,240x80,early,132,1.277586,2.2003530000000002
preformat-optimized,bench,muster,240x80,middle,92,4.9872700000000005,6.162525
preformat-optimized,bench,muster,240x80,late,74,18.026232,18.456292
preformat-optimized,bench,muster,320x100,early,132,2.090149,3.6668119999999997
preformat-optimized,bench,muster,320x100,middle,92,8.370047000000001,10.420117
preformat-optimized,bench,muster,320x100,late,74,29.929819,30.645993999999998
preformat-optimized,bench,platoon,120x40,early,132,0.314784,0.541779
preformat-optimized,bench,platoon,120x40,middle,92,1.311628,1.631488
preformat-optimized,bench,platoon,120x40,late,74,4.671868000000001,4.771348
preformat-optimized,bench,platoon,240x80,early,132,1.267431,2.193727
preformat-optimized,bench,platoon,240x80,middle,92,5.125152,6.279982
preformat-optimized,bench,platoon,240x80,late,74,18.525365,18.910443
preformat-optimized,bench,platoon,320x100,early,132,2.101493,3.5958699999999997
preformat-optimized,bench,platoon,320x100,middle,92,8.443858,10.373355
preformat-optimized,bench,platoon,320x100,late,74,31.103033,31.881512999999998
