stage,mode,variant,size,frames,median_ms,p95_ms,p99_ms,max_ms,over_40ms_pct,widget_p95_ms,output_p95_ms,produced_fps,interval_p95_ms,gaps_over_60ms_pct
baseline,bench,muster,120x40,447,0.975583,6.4575640000000005,7.056953999999999,8.256540000000001,0.0,6.2346639999999995,0.35795499999999997,,,
baseline,bench,muster,240x80,447,3.8928939999999996,27.090914,31.046834,31.670372,0.0,26.383440999999998,1.451265,,,
baseline,bench,muster,320x100,447,6.060345,44.096211000000004,46.838505,48.319848,14.317673378076062,42.754975,2.450504,,,
baseline,bench,platoon,120x40,447,0.995903,6.693349,7.76555,7.926779000000001,0.0,6.507319000000001,0.40125299999999997,,,
baseline,bench,platoon,240x80,447,4.031773,26.763084,30.467748,31.382755,0.0,25.830687,1.5291949999999999,,,
baseline,bench,platoon,320x100,447,6.210572,41.778174,46.065862,51.293755,9.395973154362416,40.359523,2.2966819999999997,,,
baseline,live,muster,120x40,298,5.6297440000000005,23.407843,25.56026,26.10697,0.0,20.556155999999998,6.264254,24.648932406407376,41.03504,0.0
baseline,live,muster,240x80,298,25.252556,39.325111,47.222476,55.030017,4.3624161073825505,29.339513999999998,21.842858,24.545816506915624,41.068851,0.0
baseline,live,platoon,120x40,298,6.206474,20.793069,25.421556,25.542547,0.0,18.420612000000002,6.152088,24.63407164518376,41.050029,0.0
baseline,live,platoon,240x80,298,24.6511025,42.481586,69.947519,72.37703,7.718120805369128,31.656293,21.968075000000002,24.274439634486676,42.952127,1.0067114093959733
baseline-check,bench,muster,120x40,149,0.8056960000000001,6.077529999999999,6.226587,6.238194,0.0,5.899928,0.31067,,,
baseline-check,bench,muster,240x80,149,3.020371,23.864144,24.138869,24.322481,0.0,23.191848,1.1923,,,
baseline-check,bench,muster,320x100,149,4.962784,38.669027,39.814911,39.953216999999995,0.0,37.955317,1.9764329999999999,,,
baseline-check,bench,platoon,120x40,149,0.771741,5.693642,5.847042999999999,5.888954,0.0,5.502444000000001,0.308967,,,
baseline-check,bench,platoon,240x80,149,3.071256,22.598775,23.310443,24.055998,0.0,22.020825000000002,1.202399,,,
baseline-check,bench,platoon,320x100,149,5.1231670000000005,37.815815,38.872446000000004,39.189659,0.0,36.994868000000004,1.974559,,,
baseline-large,live,muster,320x100,149,32.253867,58.609697999999995,68.957295,71.74964299999999,24.161073825503355,43.956911999999996,28.884417000000003,22.949829062164394,58.615258000000004,4.697986577181208
baseline-large,live,platoon,320x100,149,32.216757,51.227788999999994,53.780974,67.523394,26.845637583892618,38.516227,26.584271,23.619631648401366,51.231036,0.6711409395973155
candidate,bench,muster,120x40,447,0.706416,5.203715,6.268408999999999,6.615024,0.0,4.985015000000001,0.37847699999999995,,,
candidate,bench,muster,240x80,447,2.714357,20.331784,22.427452000000002,26.529265,0.0,19.403961,1.3112439999999999,,,
candidate,bench,muster,320x100,447,3.839978,32.158628,33.89821499999999,34.092052,0.0,31.171381,1.95281,,,
candidate,bench,platoon,120x40,447,0.581624,4.73504,5.048996,5.208879,0.0,4.606975,0.303195,,,
candidate,bench,platoon,240x80,447,2.3508649999999998,19.105186,20.286861000000002,20.846725,0.0,18.589432000000002,1.195589,,,
candidate,bench,platoon,320x100,447,4.4387229999999995,31.892931,33.744862,34.063223,0.0,30.962134,1.989983,,,
optimized,bench,muster,120x40,447,0.6073500000000001,4.4196599999999995,4.653906,4.754581,0.0,4.257822,0.31039999999999995,,,
optimized,bench,muster,240x80,447,2.683556,17.448580999999997,19.218544,20.426322,0.0,16.748222000000002,1.251535,,,
optimized,bench,muster,320x100,447,4.248417000000001,28.490429,30.721777,32.24993,0.0,27.386502,1.991952,,,
optimized,bench,platoon,120x40,447,0.5919439999999999,4.472575,4.776439,4.822729000000001,0.0,4.347199,0.307868,,,
optimized,bench,platoon,240x80,447,2.328254,17.709451,18.825352,18.992679,0.0,17.172712999999998,1.1934639999999999,,,
optimized,bench,platoon,320x100,447,4.023926,30.010835999999998,31.836133999999998,32.278423,0.0,29.043121,2.009058,,,
optimized,live,muster,120x40,298,6.665803,18.879799,20.511746,20.801266,0.0,14.307042,8.235474,24.626841625256525,41.050134,0.0
optimized,live,muster,240x80,298,25.2745345,37.570412,44.008099,56.002659,2.684563758389262,28.019192,24.384006000000003,24.55921394366296,41.063384,0.0
optimized,live,platoon,120x40,298,7.169029,18.337728,20.553615,21.329137,0.0,15.305939,7.9411819999999995,24.62841159614955,41.048138,0.0
optimized,live,platoon,240x80,298,24.8537295,37.537572,49.089974000000005,66.784252,2.684563758389262,27.54723,24.32902,24.52271612878365,41.057345999999995,0.33557046979865773
optimized-large,live,muster,320x100,149,30.230446,45.655882,65.949569,67.525679,15.436241610738255,33.155205,31.051754000000003,24.020859930145008,45.658923,1.342281879194631
optimized-large,live,platoon,320x100,149,29.273542000000003,47.579764000000004,49.618545,50.685527,13.422818791946309,32.428647,29.397501000000002,24.246041236973728,47.582860999999994,0.0
paired-baseline,bench,muster,120x40,298,0.836913,5.893915,6.060134,6.153183,0.0,5.7532749999999995,0.30567700000000003,,,
paired-baseline,bench,muster,240x80,298,3.020796,23.478175,23.99902,24.37816,0.0,22.919546999999998,1.191789,,,
paired-baseline,bench,muster,320x100,298,5.045144,38.903169999999996,40.146273,40.315167,1.0067114093959733,38.002462,1.974119,,,
paired-baseline,bench,platoon,120x40,298,0.7602375,5.650912,5.833443,5.899499,0.0,5.496029,0.308665,,,
paired-baseline,bench,platoon,240x80,298,3.137388,22.725664000000002,23.531481,23.645169000000003,0.0,22.135814999999997,1.198442,,,
paired-baseline,bench,platoon,320x100,298,5.065782499999999,37.924978,39.319244,39.808113,0.0,36.975753,1.977923,,,
paired-optimized,bench,muster,120x40,298,0.5914145,4.410014,4.6418159999999995,4.675338,0.0,4.249515000000001,0.310024,,,
paired-optimized,bench,muster,240x80,298,2.3553675,17.603725999999998,20.239216,21.211589,0.0,16.959522,1.220998,,,
paired-optimized,bench,muster,320x100,298,4.421442000000001,28.802616,30.577330000000003,31.115426,0.0,27.718758,2.034933,,,
paired-optimized,bench,platoon,120x40,298,0.5978885,4.469467,4.743297999999999,4.772553,0.0,4.334796,0.304043,,,
paired-optimized,bench,platoon,240x80,298,2.366262,17.893854,19.017286,19.286572,0.0,17.408679,1.2102,,,
paired-optimized,bench,platoon,320x100,298,3.8815345,29.883117,31.669815999999997,31.956726,0.0,28.98833,1.943276,,,
preformat-baseline,bench,muster,120x40,298,0.8516125,6.080064,6.445431999999999,6.498422,0.0,5.892246,0.31829,,,
